date,product_name,category,region,store,quantity,price,discount,revenue,profit,promotion,holiday
2023-01-04,Smartphone,Electronics,North,Store B,7,25385.19,10,159926.71,27947.28,0,0
2023-01-04,Headphones,Electronics,South,Store E,6,2523.93,10,13629.23,3156.07,0,0
2023-01-04,Office Chair,Furniture,South,Store D,4,7217.08,0,28868.33,7180.09,0,0
2023-01-04,Study Table,Furniture,South,Store B,4,12381.15,10,44572.14,8190.78,0,0
2023-01-04,T-Shirt,Fashion,West,Store A,12,842.86,10,9102.84,1640.59,1,0
2023-01-04,Jeans,Fashion,West,Store D,14,1909.81,20,21389.84,4333.4,0,0
2023-01-04,Shoes,Fashion,South,Store A,9,2500.63,5,21380.35,6680.81,0,0
2023-01-04,Coffee Maker,Home Appliances,East,Store A,8,4598.92,10,33112.2,10133.72,0,0
2023-01-04,Mixer Grinder,Home Appliances,South,Store A,13,3730.81,5,46075.54,17574.85,0,0
2023-01-05,Laptop,Electronics,South,Store E,12,54063.83,5,616327.63,172189.63,0,0
2023-01-05,Smartphone,Electronics,North,Store B,9,24019.4,5,205365.84,48966.85,1,0
2023-01-05,Headphones,Electronics,South,Store B,11,2564.9,10,25392.53,4431.8,0,0
2023-01-05,Office Chair,Furniture,South,Store C,7,7200.79,5,47885.26,7177.23,0,0
2023-01-05,Study Table,Furniture,West,Store C,10,12751.06,20,102008.48,29031.75,0,0
2023-01-05,T-Shirt,Fashion,East,Store A,13,845.18,5,10437.91,3141.73,1,0
2023-01-05,Jeans,Fashion,South,Store B,6,1870.82,0,11224.93,3710.34,0,0
2023-01-05,Shoes,Fashion,South,Store C,15,2416.01,5,34428.14,5499.87,0,0
2023-01-05,Coffee Maker,Home Appliances,South,Store D,10,4511.04,15,38343.82,10258.3,0,0
2023-01-05,Mixer Grinder,Home Appliances,East,Store E,3,3593.41,5,10241.23,3199.88,0,0
2023-01-06,Laptop,Electronics,East,Store C,10,55085.28,10,495767.53,104180.94,1,0
2023-01-06,Smartphone,Electronics,East,Store A,8,24589.29,5,186878.64,50349.75,1,0
2023-01-06,Headphones,Electronics,North,Store E,10,2542.45,15,21610.84,2231.84,0,0
2023-01-06,Office Chair,Furniture,South,Store B,4,7472.09,5,28393.95,5565.18,0,0
2023-01-06,Study Table,Furniture,South,Store B,3,12836.56,15,32733.23,10737.45,0,0
2023-01-06,T-Shirt,Fashion,North,Store D,18,797.53,0,14355.56,4472.04,1,0
2023-01-06,Jeans,Fashion,North,Store D,10,1768.09,0,17680.87,4576.91,0,0
2023-01-06,Shoes,Fashion,East,Store C,6,2452.82,5,13981.08,4258.02,0,0
2023-01-06,Coffee Maker,Home Appliances,South,Store D,6,4566.59,10,24659.58,8037.15,0,0
2023-01-06,Mixer Grinder,Home Appliances,East,Store B,8,3328.43,20,21301.94,3366.26,0,0
2023-01-07,Laptop,Electronics,North,Store D,6,59380.38,10,320654.04,69395.39,1,0
2023-01-07,Smartphone,Electronics,West,Store D,15,26084.99,15,332583.57,71468.59,1,0
2023-01-07,Headphones,Electronics,North,Store C,17,2547.2,10,38972.13,8061.82,1,0
2023-01-07,Office Chair,Furniture,North,Store E,9,7127.64,0,64148.79,22230.93,0,0
2023-01-07,Study Table,Furniture,East,Store C,9,11618.04,15,88878.04,8618.05,0,0
2023-01-07,T-Shirt,Fashion,North,Store D,15,850.16,5,12114.85,4077.23,0,0
2023-01-07,Jeans,Fashion,West,Store C,14,1792.16,5,23835.71,6949.33,0,0
2023-01-07,Shoes,Fashion,North,Store E,20,2577.97,20,41247.58,8246.63,1,0
2023-01-07,Coffee Maker,Home Appliances,West,Store D,13,4736.33,15,52336.44,15639.3,1,0
2023-01-07,Mixer Grinder,Home Appliances,South,Store E,9,3687.77,5,31530.43,11780.4,0,0
2023-01-08,Laptop,Electronics,East,Store D,17,56130.48,10,858796.34,255418.56,1,0
2023-01-08,Smartphone,Electronics,South,Store D,16,25251.52,5,383823.09,75618.69,0,0
2023-01-08,Headphones,Electronics,West,Store B,11,2658.44,0,29242.84,8128.86,0,0
2023-01-08,Office Chair,Furniture,West,Store D,13,7200.39,0,93605.04,33275.51,1,0
2023-01-08,Study Table,Furniture,South,Store C,9,12652.45,0,113872.06,48982.02,0,0
2023-01-08,T-Shirt,Fashion,South,Store C,12,806.02,10,8705.04,2564.6,0,0
2023-01-08,Jeans,Fashion,West,Store C,9,1923.01,5,16441.69,5670.94,0,0
2023-01-08,Shoes,Fashion,East,Store C,9,2697.9,0,24281.14,8753.46,0,0
2023-01-08,Coffee Maker,Home Appliances,South,Store E,12,4722.73,5,53839.16,20438.18,0,0
2023-01-08,Mixer Grinder,Home Appliances,West,Store E,13,3584.1,0,46593.26,12024.96,0,0
2023-01-09,Laptop,Electronics,West,Store B,19,54566.53,5,984925.85,341575.25,1,0
2023-01-09,Smartphone,Electronics,North,Store A,7,25668.46,5,170695.25,57251.24,0,0
2023-01-09,Headphones,Electronics,South,Store E,11,2551.03,0,28061.34,8425.63,0,0
2023-01-09,Office Chair,Furniture,East,Store A,5,7239.81,15,30769.18,4377.69,0,0
2023-01-09,Study Table,Furniture,North,Store B,3,12804.03,0,38412.09,11149.28,0,0
2023-01-09,T-Shirt,Fashion,West,Store B,12,802.55,15,8185.99,1771.95,0,0
2023-01-09,Jeans,Fashion,North,Store B,13,1766.43,10,20667.23,4996.23,0,0
2023-01-09,Shoes,Fashion,West,Store C,13,2528.7,5,31229.5,7856.38,0,0
2023-01-09,Coffee Maker,Home Appliances,North,Store E,8,4480.65,0,35845.21,11570.31,0,0
2023-01-09,Mixer Grinder,Home Appliances,South,Store C,3,3327.39,20,7985.74,1490.89,0,0
2023-01-10,Laptop,Electronics,South,Store D,14,59100.92,0,827412.9,260299.71,1,0
2023-01-10,Smartphone,Electronics,East,Store E,14,26685.93,20,298882.44,48142.55,1,0
2023-01-10,Headphones,Electronics,East,Store B,8,2412.47,0,19299.73,5781.39,0,0
2023-01-10,Office Chair,Furniture,South,Store B,9,7519.37,5,64290.64,16835.64,1,0
2023-01-10,Study Table,Furniture,West,Store A,8,11998.98,0,95991.87,22276.72,0,0
2023-01-10,T-Shirt,Fashion,East,Store D,5,819.37,5,3892.02,1299.65,0,0
2023-01-10,Jeans,Fashion,South,Store B,9,1709.83,10,13849.64,2773.12,0,0
2023-01-10,Shoes,Fashion,West,Store B,8,2694.93,0,21559.45,8024.88,0,0
2023-01-10,Coffee Maker,Home Appliances,South,Store A,9,4410.53,20,31755.8,583.29,0,0
2023-01-10,Mixer Grinder,Home Appliances,East,Store E,3,3700.92,20,8882.22,1068.76,1,0
2023-01-11,Laptop,Electronics,North,Store A,10,58399.91,15,496399.21,121113.43,0,0
2023-01-11,Smartphone,Electronics,West,Store C,6,24571.11,0,147426.66,57289.44,0,0
2023-01-11,Headphones,Electronics,East,Store E,14,2454.72,15,29211.14,7219.9,0,0
2023-01-11,Office Chair,Furniture,West,Store A,7,7130.02,15,42423.6,3175.1,0,0
2023-01-11,Study Table,Furniture,South,Store B,6,12389.05,0,74334.29,24136.08,1,0
2023-01-11,T-Shirt,Fashion,East,Store C,13,769.7,20,8004.86,20.36,1,0
2023-01-11,Jeans,Fashion,West,Store D,9,1845.2,0,16606.82,5884.19,0,0
2023-01-11,Shoes,Fashion,North,Store C,14,2498.67,5,33232.37,11827.49,1,0
2023-01-11,Coffee Maker,Home Appliances,South,Store C,1,4549.1,0,4549.1,1084.21,0,0
2023-01-11,Mixer Grinder,Home Appliances,East,Store E,9,3738.83,10,30284.55,6523.32,1,0
2023-01-12,Laptop,Electronics,West,Store C,7,55633.45,15,331019.03,32923.23,0,0
2023-01-12,Smartphone,Electronics,North,Store A,13,26742.76,0,347655.82,116581.78,1,0
2023-01-12,Headphones,Electronics,North,Store A,9,2423.61,20,17450.02,2068.39,0,0
2023-01-12,Office Chair,Furniture,North,Store B,6,7360.99,0,44165.96,9174.0,0,0
2023-01-12,Study Table,Furniture,West,Store D,2,11537.07,5,21920.44,6005.73,0,0
2023-01-12,T-Shirt,Fashion,South,Store E,10,830.66,5,7891.31,1945.91,0,0
2023-01-12,Jeans,Fashion,North,Store B,6,1716.44,10,9268.76,973.37,0,0
2023-01-12,Shoes,Fashion,East,Store A,15,2484.33,15,31675.17,3686.3,0,0
2023-01-12,Coffee Maker,Home Appliances,East,Store C,8,4784.99,0,38279.95,15259.44,1,0
2023-01-12,Mixer Grinder,Home Appliances,East,Store D,4,3476.2,10,12514.33,2747.29,1,0
2023-01-13,Laptop,Electronics,East,Store C,11,56134.6,5,586606.56,167632.41,0,0
2023-01-13,Smartphone,Electronics,South,Store D,13,25805.76,10,301927.35,85115.71,0,0
2023-01-13,Headphones,Electronics,North,Store E,12,2519.72,15,25701.19,4921.17,1,0
2023-01-13,Office Chair,Furniture,South,Store D,7,7567.44,20,42377.69,8647.01,0,0
2023-01-13,Study Table,Furniture,East,Store B,6,12344.64,5,70364.45,22541.2,0,0
2023-01-13,T-Shirt,Fashion,West,Store E,17,817.02,15,11806.0,2336.16,1,0
2023-01-13,Jeans,Fashion,West,Store B,9,1858.73,0,16728.55,6359.08,1,0
2023-01-13,Shoes,Fashion,South,Store E,6,2503.15,10,13516.99,3225.39,0,0
2023-01-13,Coffee Maker,Home Appliances,East,Store C,7,4358.97,0,30512.81,6284.03,0,0
2023-01-13,Mixer Grinder,Home Appliances,West,Store B,8,3703.05,0,29624.39,8466.76,0,0
2023-01-14,Laptop,Electronics,South,Store D,12,56575.42,0,678905.05,245113.39,0,0
2023-01-14,Smartphone,Electronics,South,Store A,18,24104.61,0,433882.91,111191.47,1,0
2023-01-14,Headphones,Electronics,North,Store D,14,2516.56,10,31708.71,5556.36,0,0
2023-01-14,Office Chair,Furniture,West,Store A,8,7289.23,5,55398.17,12458.35,0,0
2023-01-14,Study Table,Furniture,North,Store A,6,12232.42,5,69724.79,18646.34,0,0
2023-01-14,T-Shirt,Fashion,West,Store B,14,852.19,5,11334.15,4479.03,0,0
2023-01-14,Jeans,Fashion,East,Store A,12,1754.55,5,20001.89,6402.75,0,0
2023-01-14,Shoes,Fashion,West,Store E,11,2475.18,5,25865.68,6352.33,0,0
2023-01-14,Coffee Maker,Home Appliances,North,Store B,7,4425.09,5,29426.84,5067.05,0,0
2023-01-14,Mixer Grinder,Home Appliances,West,Store A,2,3559.4,10,6406.93,1459.07,0,0
2023-01-15,Laptop,Electronics,North,Store A,7,57755.1,15,343642.87,74067.92,0,0
2023-01-15,Smartphone,Electronics,East,Store E,14,24247.2,5,322487.72,97667.88,0,0
2023-01-15,Headphones,Electronics,West,Store B,11,2449.83,0,26948.13,9427.51,0,0
2023-01-15,Office Chair,Furniture,East,Store B,6,7831.4,5,44639.0,17510.85,0,0
2023-01-15,Study Table,Furniture,West,Store D,11,12605.29,15,117859.48,32365.56,1,0
2023-01-15,T-Shirt,Fashion,South,Store A,12,823.15,0,9877.85,3361.52,0,0
2023-01-15,Jeans,Fashion,West,Store B,7,1847.69,0,12933.84,3836.35,0,0
2023-01-15,Shoes,Fashion,West,Store E,10,2491.96,5,23673.62,4201.75,0,0
2023-01-15,Coffee Maker,Home Appliances,East,Store D,9,4740.34,10,38396.74,7337.61,0,0
2023-01-15,Mixer Grinder,Home Appliances,South,Store D,14,3367.28,10,42427.76,10760.61,1,0
2023-01-16,Laptop,Electronics,West,Store A,4,54973.5,0,219894.01,74179.67,0,0
2023-01-16,Smartphone,Electronics,South,Store A,13,26094.62,5,322268.58,119003.81,0,0
2023-01-16,Headphones,Electronics,East,Store D,10,2447.67,0,24476.75,5168.79,1,0
2023-01-16,Office Chair,Furniture,North,Store B,9,7191.47,5,61487.05,20673.44,1,0
2023-01-16,Study Table,Furniture,South,Store D,7,12339.98,0,86379.88,30464.13,0,0
2023-01-16,T-Shirt,Fashion,East,Store C,7,837.39,5,5568.67,1589.2,0,0
2023-01-16,Jeans,Fashion,East,Store A,7,1771.12,10,11158.03,3199.28,0,0
2023-01-16,Shoes,Fashion,West,Store D,12,2445.78,0,29349.39,10418.7,0,0
2023-01-16,Coffee Maker,Home Appliances,West,Store D,11,4737.35,5,49505.28,14618.34,1,0
2023-01-16,Mixer Grinder,Home Appliances,East,Store B,6,3445.96,5,19641.98,4599.76,0,0
2023-01-17,Laptop,Electronics,South,Store D,10,56959.65,0,569596.49,146256.21,0,0
2023-01-17,Smartphone,Electronics,North,Store D,12,25190.64,20,241830.12,59247.26,0,0
2023-01-17,Headphones,Electronics,West,Store A,7,2500.97,5,16631.44,4676.31,1,0
2023-01-17,Office Chair,Furniture,West,Store C,8,8001.43,5,60810.86,16360.02,1,0
2023-01-17,Study Table,Furniture,West,Store A,4,12146.08,20,38867.45,2327.61,1,0
2023-01-17,T-Shirt,Fashion,North,Store E,10,854.64,5,8119.09,2576.12,0,0
2023-01-17,Jeans,Fashion,West,Store D,3,1731.27,5,4934.12,1330.66,0,0
2023-01-17,Shoes,Fashion,North,Store D,7,2593.66,20,14524.48,2466.75,0,0
2023-01-17,Coffee Maker,Home Appliances,South,Store E,15,4352.06,0,65280.92,15960.26,0,0
2023-01-17,Mixer Grinder,Home Appliances,East,Store B,12,3329.25,5,37953.4,10888.51,0,0
2023-01-18,Laptop,Electronics,South,Store C,6,53708.85,15,273915.16,42943.11,1,0
2023-01-18,Smartphone,Electronics,West,Store C,5,24408.06,10,109836.28,13279.62,0,0
2023-01-18,Headphones,Electronics,South,Store D,12,2490.54,10,26897.78,4609.11,0,0
2023-01-18,Office Chair,Furniture,West,Store A,6,7909.86,10,42713.27,13527.72,0,0
2023-01-18,Study Table,Furniture,West,Store C,2,12503.98,10,22507.17,4700.35,0,0
2023-01-18,T-Shirt,Fashion,West,Store C,7,768.25,5,5108.88,1530.98,0,0
2023-01-18,Jeans,Fashion,East,Store D,16,1892.79,10,27256.18,9372.67,1,0
2023-01-18,Shoes,Fashion,North,Store D,11,2491.73,0,27409.02,9260.46,0,0
2023-01-18,Coffee Maker,Home Appliances,South,Store C,9,4543.04,15,34754.25,6933.41,0,0
2023-01-18,Mixer Grinder,Home Appliances,North,Store B,8,3760.26,10,27073.87,9926.32,0,0
2023-01-19,Laptop,Electronics,West,Store B,8,52490.34,5,398926.56,129964.43,0,0
2023-01-19,Smartphone,Electronics,North,Store C,9,24595.51,5,210291.63,45693.39,0,0
2023-01-19,Headphones,Electronics,North,Store E,8,2456.56,0,19652.51,4590.3,0,0
2023-01-19,Office Chair,Furniture,East,Store A,5,7571.84,0,37859.22,12087.52,0,0
2023-01-19,Study Table,Furniture,South,Store E,10,11714.13,10,105427.15,27840.94,1,0
2023-01-19,T-Shirt,Fashion,West,Store B,13,850.23,0,11052.99,3176.27,0,0
2023-01-19,Jeans,Fashion,West,Store C,15,1838.27,5,26195.3,9546.97,1,0
2023-01-19,Shoes,Fashion,East,Store D,11,2641.13,10,26147.15,7771.43,0,0
2023-01-19,Coffee Maker,Home Appliances,East,Store E,13,4805.09,15,53096.29,15080.48,1,0
2023-01-19,Mixer Grinder,Home Appliances,West,Store A,8,3470.45,10,24987.23,3205.61,0,0
2023-01-20,Laptop,Electronics,South,Store E,5,56020.91,5,266099.31,65491.31,0,0
2023-01-20,Smartphone,Electronics,North,Store B,13,26064.05,0,338832.59,95512.87,0,0
2023-01-20,Headphones,Electronics,North,Store A,11,2480.66,10,24558.52,4661.2,0,0
2023-01-20,Office Chair,Furniture,West,Store A,3,7335.14,15,18704.61,3745.08,0,0
2023-01-20,Study Table,Furniture,South,Store C,9,12008.02,0,108072.22,35894.69,1,0
2023-01-20,T-Shirt,Fashion,North,Store D,6,808.81,15,4124.94,1233.0,0,0
2023-01-20,Jeans,Fashion,West,Store B,15,1857.58,5,26470.49,8094.47,1,0
2023-01-20,Shoes,Fashion,West,Store E,6,2526.34,0,15158.03,5348.54,0,0
2023-01-20,Coffee Maker,Home Appliances,East,Store E,8,4415.11,0,35320.91,8572.04,0,0
2023-01-20,Mixer Grinder,Home Appliances,North,Store D,7,3629.49,15,21595.44,3238.29,0,0
2023-01-21,Laptop,Electronics,West,Store A,13,55570.7,15,614056.21,167356.9,0,0
2023-01-21,Smartphone,Electronics,East,Store B,10,25948.39,10,233535.47,77609.27,0,0
2023-01-21,Headphones,Electronics,West,Store D,12,2581.08,5,29424.36,11041.32,0,0
2023-01-21,Office Chair,Furniture,South,Store B,5,7316.2,5,34751.93,8129.16,0,0
2023-01-21,Study Table,Furniture,South,Store D,2,11457.29,0,22914.57,8047.9,0,0
2023-01-21,T-Shirt,Fashion,North,Store E,10,787.91,0,7879.07,1910.52,0,0
2023-01-21,Jeans,Fashion,South,Store A,19,1715.99,5,30973.59,6309.42,1,0
2023-01-21,Shoes,Fashion,North,Store C,20,2611.16,5,49612.03,11686.88,0,0
2023-01-21,Coffee Maker,Home Appliances,South,Store E,6,4760.31,10,25705.67,9308.55,0,0
2023-01-21,Mixer Grinder,Home Appliances,West,Store B,12,3597.41,15,36693.53,7697.25,0,0
2023-01-22,Laptop,Electronics,East,Store A,15,58702.54,0,880538.12,375671.21,0,0
2023-01-22,Smartphone,Electronics,West,Store B,10,25625.9,5,243446.05,91477.79,0,0
2023-01-22,Headphones,Electronics,South,Store A,11,2500.9,0,27509.93,6793.31,0,0
2023-01-22,Office Chair,Furniture,West,Store C,8,7137.0,15,48531.61,8535.05,0,0
2023-01-22,Study Table,Furniture,North,Store D,7,11991.1,5,79740.82,29239.35,0,0
2023-01-22,T-Shirt,Fashion,East,Store C,11,796.92,10,7889.51,2271.4,0,0
2023-01-22,Jeans,Fashion,West,Store A,14,1757.9,0,24610.56,5302.6,0,0
2023-01-22,Shoes,Fashion,East,Store B,11,2416.3,5,25250.32,4622.95,0,0
2023-01-22,Coffee Maker,Home Appliances,South,Store B,7,4727.52,20,26474.11,2016.9,0,0
2023-01-22,Mixer Grinder,Home Appliances,South,Store A,9,3572.9,15,27332.66,7495.74,0,0
2023-01-23,Laptop,Electronics,East,Store E,10,56132.63,5,533259.94,180712.72,0,0
2023-01-23,Smartphone,Electronics,West,Store C,14,24174.62,15,287677.98,27875.86,1,0
2023-01-23,Headphones,Electronics,West,Store E,19,2693.82,5,48623.47,15990.33,1,0
2023-01-23,Office Chair,Furniture,West,Store B,10,7911.42,5,75158.53,23726.01,0,0
2023-01-23,Study Table,Furniture,East,Store A,1,11775.0,0,11775.0,3901.29,0,0
2023-01-23,T-Shirt,Fashion,East,Store C,21,838.26,10,15843.13,2969.17,0,0
2023-01-23,Jeans,Fashion,North,Store C,15,1900.78,10,25660.48,7850.02,1,0
2023-01-23,Shoes,Fashion,East,Store A,13,2375.89,0,30886.58,5914.59,1,0
2023-01-23,Coffee Maker,Home Appliances,West,Store A,7,4339.93,0,30379.54,6896.84,1,0
2023-01-23,Mixer Grinder,Home Appliances,South,Store B,6,3648.1,0,21888.6,6767.89,0,0
2023-01-24,Laptop,Electronics,East,Store D,11,54153.1,0,595684.11,230285.38,1,0
2023-01-24,Smartphone,Electronics,East,Store E,12,24447.54,0,293370.49,90899.94,1,0
2023-01-24,Headphones,Electronics,South,Store A,11,2609.21,15,24396.14,5908.98,0,0
2023-01-24,Office Chair,Furniture,East,Store B,4,7170.68,5,27248.59,7757.27,0,0
2023-01-24,Study Table,Furniture,North,Store A,2,11893.38,10,21408.09,6567.91,0,0
2023-01-24,T-Shirt,Fashion,South,Store C,15,851.69,10,11497.8,3370.92,0,0
2023-01-24,Jeans,Fashion,South,Store D,6,1926.59,5,10981.56,2864.85,0,0
2023-01-24,Shoes,Fashion,East,Store B,7,2593.7,0,18155.88,4687.73,0,0
2023-01-24,Coffee Maker,Home Appliances,South,Store E,7,4725.91,10,29773.21,10856.88,0,0
2023-01-24,Mixer Grinder,Home Appliances,East,Store A,9,3748.52,5,32049.82,12436.97,0,0
2023-01-25,Laptop,Electronics,East,Store D,11,52557.5,0,578132.5,142510.72,1,0
2023-01-25,Smartphone,Electronics,South,Store B,9,24616.69,15,188317.71,23961.02,0,0
2023-01-25,Headphones,Electronics,South,Store D,8,2494.51,5,18958.3,6304.04,0,0
2023-01-25,Office Chair,Furniture,East,Store E,11,7326.92,0,80596.09,28834.03,0,0
2023-01-25,Study Table,Furniture,West,Store C,7,12415.49,5,82563.03,22416.81,0,0
2023-01-25,T-Shirt,Fashion,West,Store D,11,852.13,10,8436.04,1822.36,1,0
2023-01-25,Jeans,Fashion,East,Store E,16,1898.45,10,27337.71,5158.74,0,0
2023-01-25,Shoes,Fashion,North,Store D,11,2509.08,0,27599.88,9612.59,0,0
2023-01-25,Coffee Maker,Home Appliances,North,Store E,15,4338.7,10,58572.48,10338.54,1,0
2023-01-25,Mixer Grinder,Home Appliances,West,Store C,14,3541.99,0,49587.85,13852.17,1,0
2023-01-26,Laptop,Electronics,East,Store A,13,54064.82,15,597416.27,136780.85,0,0
2023-01-26,Smartphone,Electronics,South,Store C,20,25315.04,5,480985.67,123795.74,1,0
2023-01-26,Headphones,Electronics,West,Store E,12,2619.33,15,26717.12,7482.17,0,0
2023-01-26,Office Chair,Furniture,South,Store A,8,8006.16,5,60846.84,15711.67,0,0
2023-01-26,Study Table,Furniture,South,Store E,7,11968.39,10,75400.87,20536.82,1,0
2023-01-26,T-Shirt,Fashion,East,Store E,6,834.54,0,5007.22,1463.01,0,0
2023-01-26,Jeans,Fashion,West,Store B,15,1776.88,0,26653.19,5939.99,1,0
2023-01-26,Shoes,Fashion,East,Store E,15,2447.51,20,29370.14,4826.62,1,0
2023-01-26,Coffee Maker,Home Appliances,South,Store D,1,4406.21,20,3524.97,287.9,0,0
2023-01-26,Mixer Grinder,Home Appliances,East,Store A,14,3647.74,5,48514.95,17639.18,1,0
2023-01-27,Laptop,Electronics,East,Store A,12,52952.38,0,635428.56,143970.61,0,0
2023-01-27,Smartphone,Electronics,East,Store B,16,24384.53,15,331629.63,66765.01,1,0
2023-01-27,Headphones,Electronics,North,Store D,16,2557.67,10,36830.5,6011.45,1,0
2023-01-27,Office Chair,Furniture,South,Store A,4,7136.13,15,24262.85,2462.87,0,0
2023-01-27,Study Table,Furniture,North,Store B,6,12745.72,10,68826.88,23303.73,0,0
2023-01-27,T-Shirt,Fashion,West,Store C,18,791.93,10,12829.27,2086.57,1,0
2023-01-27,Jeans,Fashion,South,Store E,9,1938.69,15,14830.97,3286.15,0,0
2023-01-27,Shoes,Fashion,West,Store D,7,2513.92,20,14077.95,817.6,0,0
2023-01-27,Coffee Maker,Home Appliances,South,Store C,4,4849.5,5,18428.1,5085.14,0,0
2023-01-27,Mixer Grinder,Home Appliances,East,Store C,8,3770.43,5,28655.24,9055.54,1,0
2023-01-28,Laptop,Electronics,North,Store B,8,56579.2,0,452633.61,147703.85,0,0
2023-01-28,Smartphone,Electronics,East,Store B,12,26842.13,0,322105.51,126051.8,0,0
2023-01-28,Headphones,Electronics,North,Store D,12,2379.91,0,28558.93,5347.85,0,0
2023-01-28,Office Chair,Furniture,East,Store C,8,7843.12,20,50195.98,4659.65,0,0
2023-01-28,Study Table,Furniture,East,Store D,5,12022.5,20,48089.98,3020.12,0,0
2023-01-28,T-Shirt,Fashion,North,Store A,16,767.81,15,10442.17,914.33,0,0
2023-01-28,Jeans,Fashion,East,Store D,16,1852.48,5,28157.7,7583.36,0,0
2023-01-28,Shoes,Fashion,North,Store B,8,2614.04,15,17775.47,5730.8,0,0
2023-01-28,Coffee Maker,Home Appliances,East,Store A,7,4765.52,20,26686.9,3222.04,0,0
2023-01-28,Mixer Grinder,Home Appliances,East,Store D,12,3663.01,10,39560.52,8781.86,1,0
2023-01-29,Laptop,Electronics,North,Store C,14,54635.29,10,688404.64,106488.84,1,0
2023-01-29,Smartphone,Electronics,South,Store E,14,24557.25,10,309421.31,54977.28,0,0
2023-01-29,Headphones,Electronics,North,Store D,7,2537.53,5,16874.55,3901.49,0,0
2023-01-29,Office Chair,Furniture,North,Store A,5,7136.21,10,32112.92,6853.68,0,0
2023-01-29,Study Table,Furniture,North,Store E,6,11883.3,0,71299.79,24860.35,0,0
2023-01-29,T-Shirt,Fashion,West,Store B,12,841.03,15,8578.55,2294.54,0,0
2023-01-29,Jeans,Fashion,West,Store E,12,1913.99,20,18374.35,5022.99,0,0
2023-01-29,Shoes,Fashion,South,Store C,16,2661.36,10,38323.55,11851.71,1,0
2023-01-29,Coffee Maker,Home Appliances,West,Store C,6,4708.27,5,26837.12,6443.07,0,0
2023-01-29,Mixer Grinder,Home Appliances,South,Store D,3,3434.9,15,8758.99,1789.42,0,0
2023-01-30,Laptop,Electronics,West,Store C,6,56656.55,20,271951.43,40872.85,0,0
2023-01-30,Smartphone,Electronics,East,Store A,11,24214.24,0,266356.6,67098.95,0,0
2023-01-30,Headphones,Electronics,East,Store E,6,2557.22,5,14576.16,3879.41,0,0
2023-01-30,Office Chair,Furniture,West,Store B,5,7450.29,5,35388.87,7545.85,0,0
